symbol,companyName,primaryExchange,sector,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,change,changePercent,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange
VERI,Veritone Inc.,NASDAQ Global Market,Technology,close,20.97,1528291800276,21.18,1528315200579,21.24,20.57,21.18,Close,"June 6, 2018",1528315200579,183246,20.93,100,1528310136899,21.18,1528315200579,21.18,0,0,1528317007765,20.82,0.36,0.01729,0.00382,700,167810,0,0,0,0,346221708,-4.95,74.9199,7.76,-0.08606917312661493
VERU,Veru Inc.,NASDAQ Capital Market,Healthcare,close,1.98,1528291800450,1.96,1528315200456,2.05,1.96,1.96,Close,"June 6, 2018",1528315200456,66377,1.975,29,1528315008189,1.96,1528315200456,1.96,0,0,1528204241543,1.97,-0.01,-0.00508,0.00345,229,119248,0,0,0,0,104885374,-12.25,3,0.9,0.3725423776223777
VET,Vermilion Energy Inc. Common (Canada),New York Stock Exchange,Energy,close,35,1528291800904,34.82,1528315322614,35.25,34.56,34.82,Close,"June 6, 2018",1528315322614,123591,34.84,100,1528315052280,34.82,1528315322614,34.82,0,0,1528316996783,34.91,-0.09,-0.00258,0.00674,833,168630,0,0,0,0,5245647590,91.63,40.59,29.91,-0.039508322749016694
VETS,Pacer Military Times Best Employers ETF,NASDAQ Global Market,,previousclose,26,1528211207735,26,1528228800199,26.035,26.034,26.0134,Previous close,"June 5, 2018",1528156800000,1000,0,0,0,26.034,1528315200063,,,,,26.0134,0,0,0,0,469,0,0,0,0,26,,26.04,25.03,0.030552012106710203
VFC,V.F. Corporation,New York Stock Exchange,Consumer Cyclical,close,83.43,1528291800858,84.13,1528315210145,84.5,83.26,84.13,Close,"June 6, 2018",1528315210145,2471677,84.11,100,1528315193931,84.13,1528315210145,84.13,0,0,1528317714000,83.26,0.87,0.01045,0.0924,228383,2274886,0,0,0,0,33185787968,26.29,84.375,53.27,0.13628193381849854
VFL,Delaware Investments National Municipal Income Fund,NYSE American,Financial Services,close,12.55,1528220075485,12.54,1528315200025,12.54,12.511,12.54,Close,"June 6, 2018",1528315200025,2113,0,0,0,12.54,1528315800001,,,,,12.55,-0.01,-0.0008,0,0,5432,0,0,0,0,56786675,,13.94,12.25,-0.037859771349650795
VG,Vonage Holdings Corp.,New York Stock Exchange,Communication Services,close,11.68,1528291800905,11.56,1528315466059,11.75,11.43,11.56,Close,"June 6, 2018",1528315466059,1589633,11.54,100,1528315193461,11.56,1528315466059,11.56,0,0,1528317007792,11.65,-0.09,-0.00773,0.0654,103962,1315004,0,0,0,0,2745373534,35.03,11.94,6.28,0.14345577075098828
VGI,Virtus Global Multi-Sector Income Fund of Beneficial Interest,New York Stock Exchange,Financial Services,close,14.07,1528291800863,14.05,1528315321274,14.11,13.97,14.05,Close,"June 6, 2018",1528315321274,68053,0,0,0,14.05,1528315321274,14.05,0,0,1528315323870,14.12,-0.07,-0.00496,0,0,88639,0,0,0,0,158693963,,19.46,13.7,-0.15866553507746714
VGIT,Vanguard Intermediate-Term Treasury ETF,NASDAQ Global Market,,close,62.29,1528291800358,62.23,1528315200235,62.295,62.19,62.23,Close,"June 6, 2018",1528315200235,197519,62.21,200,1528313304967,62.23,1528315200235,62.23,0,0,1528317713000,62.4,-0.17,-0.00272,0.01048,2070,222177,0,0,0,0,1926499289,,65.53,61.81,-0.018764467221192863
VGLT,Vanguard Long-Treasury ETF,NASDAQ Global Market,,close,73.24,1528291800180,73.01,1528315200503,73.24,72.85,73.01,Close,"June 6, 2018",1528315200503,31347,0,0,0,73.01,1528315200503,73.01,0,0,1528315496438,73.61,-0.6,-0.00815,0,0,143008,0,0,0,0,654701989,,79.71,71.47,-0.04601833134659219
