,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
GLUU,-3q,2017-11-01,-0.03,-0.09,AMC,-0.06,,-0.06,2017-09-30,Q3 2017,3,2910,,
GLUU,-4q,2017-08-01,-0.02,-0.15,AMC,-0.13,-1.1666666666666667,-0.13,2017-06-30,Q2 2017,3,2910,-0.06,-1.5
GLW,-1q,2018-04-24,0.01,0.31,BTO,0.3,-0.23076923076923084,0.3,2018-03-31,Q1 2018,5,2912,0.39,-0.20512820512820515
GLW,-2q,2018-01-30,0.02,0.49,BTO,0.47,-0.06000000000000005,0.47,2017-12-31,Q4 2017,5,2912,0.5,-0.020000000000000018
GLW,-3q,2017-10-24,0.02,0.43,BTO,0.41,-0.023809523809523832,0.41,2017-09-30,Q3 2017,5,2912,0.42,0.023809523809523832
GLW,-4q,2017-07-26,0.02,0.42,BTO,0.4,0.08108108108108115,0.4,2017-06-30,Q2 2017,8,2912,0.37,0.13513513513513511
GLYC,-1q,2018-05-03,-0.05,-0.33,BTO,-0.28,0.1764705882352941,-0.28,2018-03-31,Q1 2018,4,8075,-0.34,0.029411764705882377
GLYC,-2q,2018-03-06,-0.01,-0.27,BTO,-0.26,0.27777777777777773,-0.26,2017-12-31,Q4 2017,5,8075,-0.36,0.24999999999999992
GLYC,-3q,2017-11-08,0.04,-0.24,BTO,-0.28,0.1764705882352941,-0.28,2017-09-30,Q3 2017,5,8075,-0.34,0.2941176470588236
GLYC,-4q,2017-08-03,0.08,-0.3,,-0.38,0.07317073170731701,-0.38,2017-06-30,Q2 2017,4,8075,-0.41,0.26829268292682923
GM,-1q,2018-04-26,0.21,1.43,BTO,1.22,-0.2823529411764706,1.22,2018-03-31,Q1 2018,5,2913,1.7,-0.15882352941176472
GM,-2q,2018-02-06,0.31,1.65,BTO,1.34,0.04687500000000004,1.34,2017-12-31,Q4 2017,7,2913,1.28,0.2890624999999999
GM,-3q,2017-10-24,0.25,1.32,BTO,1.07,-0.377906976744186,1.07,2017-09-30,Q3 2017,7,2913,1.72,-0.23255813953488366
GM,-4q,2017-07-25,0.17,1.89,BTO,1.72,-0.07526881720430113,1.72,2017-06-30,Q2 2017,8,2913,1.86,0.01612903225806441
GME,-1q,2018-05-31,0.03,0.38,AMC,0.35,-0.4444444444444445,0.35,2018-04-30,Q1 2019,5,2918,0.63,-0.3968253968253968
GME,-2q,2018-03-28,0.06,2.02,AMC,1.96,-0.1764705882352941,1.96,2018-01-31,Q4 2018,5,2918,2.38,-0.15126050420168063
GME,-3q,2017-11-21,0.11,0.54,AMC,0.43,-0.12244897959183673,0.43,2017-10-31,Q3 2018,6,2918,0.49,0.10204081632653071
GME,-4q,2017-08-24,-0.01,0.15,AMC,0.16,-0.40740740740740744,0.16,2017-07-31,Q2 2018,7,2918,0.27,-0.4444444444444445
GMED,-1q,2018-05-02,0.05,0.41,AMC,0.36,0.12499999999999993,0.36,2018-03-31,Q1 2018,6,2919,0.32,0.2812499999999999
GMED,-2q,2018-02-21,0.03,0.38,AMC,0.35,0.12903225806451607,0.35,2017-12-31,Q4 2017,7,2919,0.31,0.22580645161290325
GMED,-3q,2017-11-08,,0.3,AMC,0.3,0.03448275862068969,0.3,2017-09-30,Q3 2017,7,2919,0.29,0.03448275862068969
GMED,-4q,2017-08-02,0.02,0.32,AMC,0.3,0.03448275862068969,0.3,2017-06-30,Q2 2017,7,2919,0.29,0.10344827586206906
GMLP,-1q,2018-05-31,0.12,0.21,BTO,0.09,-0.7428571428571429,0.09,2018-03-31,Q1 2018,5,2925,0.35,-0.39999999999999997
GMLP,-2q,2018-02-28,0.13,0.37,BTO,0.24,-0.7857142857142857,0.24,2017-12-31,Q4 2017,5,2925,1.12,-0.6696428571428572
GMLP,-3q,2017-12-11,-0.03,0.37,BTO,0.4,-0.4444444444444444,0.4,2017-09-30,Q3 2017,5,2925,0.72,-0.4861111111111111
GMLP,-4q,2017-08-30,,,BTO,,,,2017-06-30,Q2 2017,4,2925,0.62,
GMO,-1q,2018-05-08,,-0.02,,,,,2018-03-31,Q1 2018,,2928,-0.02,
GMO,-2q,2018-03-13,,-0.01,,,,,2017-12-31,Q4 2017,,2928,-0.01,
GMO,-3q,2017-11-06,,-0.02,,,,,2017-09-30,Q3 2017,,2928,-0.02,
GMO,-4q,2017-08-14,,-0.02,,,,,2017-06-30,Q2 2017,,2928,-0.02,
GMRE,-1q,2018-05-08,0.01,0.18,AMC,0.17,7.500000000000001,0.17,2018-03-31,Q1 2018,3,11551,0.02,8.0
GMRE,-2q,2018-03-07,0.01,0.15,AMC,0.14,1.3333333333333337,0.14,2017-12-31,Q4 2017,2,11551,0.06,1.5
GMRE,-3q,2017-11-09,0.05,0.17,BTO,0.12,5.0,0.12,2017-09-30,Q3 2017,3,11551,-0.03,6.666666666666667
GMRE,-4q,2017-08-10,0.01,0.14,BTO,0.13,,0.13,2017-06-30,Q2 2017,3,11551,,
GMS,-1q,2018-06-28,-0.11,0.56,BTO,0.67,0.3958333333333335,0.67,2018-04-30,Q4 2018,6,10662,0.48,0.16666666666666682
GMS,-2q,2018-03-06,-0.22,0.18,BTO,0.4,0.25000000000000006,0.4,2018-01-31,Q3 2018,6,10662,0.32,-0.43750000000000006
GMS,-3q,2017-12-07,-0.04,0.51,BTO,0.55,0.19565217391304351,0.55,2017-10-31,Q2 2018,7,10662,0.46,0.10869565217391301
GMS,-4q,2017-09-06,,0.47,BTO,0.47,0.021739130434782507,0.47,2017-07-31,Q1 2018,5,10662,0.46,0.021739130434782507
GNBC,-1q,2018-04-26,-0.13,0.26,AMC,0.39,1.0526315789473684,0.39,2018-03-31,Q1 2018,2,9122,0.19,0.368421052631579
GNBC,-2q,2018-01-25,0.01,0.35,AMC,0.34,3.857142857142857,0.34,2017-12-31,Q4 2017,2,9122,0.07,3.999999999999999
GNBC,-3q,2017-10-25,-0.01,0.32,AMC,0.33,2.3750000000000004,0.33,2017-09-30,Q3 2017,2,9122,-0.24,2.3333333333333335
GNBC,-4q,2017-07-27,0.08,0.35,AMC,0.27,1.7,0.27,2017-06-30,Q2 2017,2,9122,0.1,2.4999999999999996
GNC,-1q,2018-04-26,0.04,0.24,BTO,0.2,-0.45945945945945943,0.2,2018-03-31,Q1 2018,2,2932,0.37,-0.35135135135135137
GNC,-2q,2018-02-13,0.01,0.25,,0.24,2.428571428571428,0.24,2017-12-31,Q4 2017,3,2932,0.07,2.571428571428571
GNC,-3q,2017-10-26,-0.01,0.32,BTO,0.33,-0.44067796610169485,0.33,2017-09-30,Q3 2017,4,2932,0.59,-0.45762711864406774
GNC,-4q,2017-07-27,0.01,0.41,BTO,0.4,-0.4936708860759494,0.4,2017-06-30,Q2 2017,6,2932,0.79,-0.48101265822784817
GNCA,-1q,2018-05-10,,-0.14,BTO,-0.14,0.7083333333333333,-0.14,2018-03-31,Q1 2018,3,8256,-0.48,0.7083333333333333
GNCA,-2q,2018-02-15,0.03,-0.37,BTO,-0.4,0.28571428571428575,-0.4,2017-12-31,Q4 2017,2,8256,-0.56,0.33928571428571436
GNCA,-3q,2017-11-02,-0.04,-0.59,BTO,-0.55,-0.2222222222222223,-0.55,2017-09-30,Q3 2017,2,8256,-0.45,-0.311111111111111
GNCA,-4q,2017-08-09,-0.08,-0.54,,-0.46,-0.1794871794871795,-0.46,2017-06-30,Q2 2017,3,8256,-0.39,-0.38461538461538464
GNE,-1q,2018-05-03,,0.24,BTO,,,,2018-03-31,,,2934,0.13,0.846153846153846
GNE,-2q,2018-03-08,,0.27,BTO,,,,2017-12-31,,,2934,-0.05,6.3999999999999995
GNE,-3q,2017-11-02,,0.02,BTO,,,,2017-09-30,,,2934,-0.26,1.076923076923077
GNE,-4q,2017-08-03,,-0.5,BTO,,,,2017-06-30,,,2934,0.13,-4.846153846153846
GNK,-1q,2018-05-08,,0.02,AMC,0.02,1.0303030303030303,0.02,2018-03-31,Q1 2018,4,10317,-0.66,1.0303030303030303
GNK,-2q,2018-02-27,0.1,0.07,AMC,-0.03,0.991044776119403,-0.03,2017-12-31,Q4 2017,5,10317,-3.35,1.0208955223880596
GNK,-3q,2017-11-01,-0.06,-0.36,AMC,-0.3,0.9210526315789475,-0.3,2017-09-30,Q3 2017,4,10317,-3.8,0.9052631578947369
GNK,-4q,2017-08-07,0.03,-0.36,AMC,-0.39,0.930232558139535,-0.39,2017-06-30,Q2 2017,4,10317,-5.59,0.9355992844364937
GNL,-1q,2018-05-08,-0.04,0.49,BTO,0.53,0.019230769230769246,0.53,2018-03-31,Q1 2018,1,10000,0.52,-0.057692307692307744
GNL,-2q,2018-02-27,,0.51,BTO,0.51,-0.19047619047619047,0.51,2017-12-31,Q4 2017,1,10000,0.63,-0.19047619047619047
GNL,-3q,2017-11-06,-0.04,0.48,AMC,0.52,-0.13333333333333328,0.52,2017-09-30,Q3 2017,1,10000,0.6,-0.2
GNL,-4q,2017-08-07,-0.05,0.51,AMC,0.56,-0.01754385964912263,0.56,2017-06-30,Q2 2017,1,10000,0.57,-0.10526315789473675
GNMK,-1q,2018-05-01,,-0.21,AMC,-0.21,0.3,-0.21,2018-03-31,Q1 2018,3,2939,-0.3,0.3
GNMK,-2q,2018-02-27,-0.02,-0.26,AMC,-0.24,0.1111111111111112,-0.24,2017-12-31,Q4 2017,3,2939,-0.27,0.03703703703703707
GNMK,-3q,2017-11-02,,-0.28,AMC,-0.28,-0.03703703703703707,-0.28,2017-09-30,Q3 2017,5,2939,-0.27,-0.03703703703703707
GNMK,-4q,2017-08-01,-0.06,-0.37,AMC,-0.31,-0.03333333333333337,-0.31,2017-06-30,Q2 2017,4,2939,-0.3,-0.23333333333333336
GNMX,-1q,2018-05-15,,-0.15,,-0.15,0.48275862068965514,-0.15,2018-03-31,Q1 2018,2,4294,-0.29,0.48275862068965514
GNMX,-2q,2018-03-13,0.02,-0.13,BTO,-0.15,0.31818181818181823,-0.15,2017-12-31,Q4 2017,1,4294,-0.22,0.40909090909090906
GNMX,-3q,2017-11-02,0.01,-0.23,,-0.24,0.17241379310344826,-0.24,2017-09-30,Q3 2017,2,4294,-0.29,0.20689655172413784
GNMX,-4q,2017-08-09,0.04,-0.22,,-0.26,0.25714285714285706,-0.26,2017-06-30,Q2 2017,3,4294,-0.35,0.3714285714285714
GNRC,-1q,2018-05-02,0.1,0.74,BTO,0.64,0.5609756097560977,0.64,2018-03-31,Q1 2018,7,2941,0.41,0.8048780487804879
GNRC,-2q,2018-02-13,0.17,1.37,BTO,1.2,0.07142857142857129,1.2,2017-12-31,Q4 2017,7,2941,1.12,0.2232142857142857
GNRC,-3q,2017-11-01,0.04,0.93,BTO,0.89,0.08536585365853666,0.89,2017-09-30,Q3 2017,8,2941,0.82,0.13414634146341475
GNRC,-4q,2017-08-02,0.05,0.69,BTO,0.64,,0.64,2017-06-30,Q2 2017,8,2941,0.64,0.07812499999999989
GNRT,-1q,2018-06-12,,,,-0.4,-1.8695652173913044,-0.4,2018-03-31,Q1 2018,2,10024,0.46,
GNRT,-2q,2018-03-14,0.04,-0.22,,-0.26,-2.1304347826086953,-0.26,2017-12-31,Q4 2017,3,10024,0.23,-1.9565217391304348
GNRT,-3q,2017-11-09,0.02,-0.39,BTO,-0.41,-19.499999999999996,-0.41,2017-09-30,Q3 2017,2,10024,-0.02,-18.5
GNRT,-4q,2017-08-01,-0.05,-0.11,BTO,-0.06,-1.1224489795918369,-0.06,2017-06-30,Q2 2017,2,10024,0.49,-1.2244897959183674
GNTX,-1q,2018-04-20,,0.4,BTO,0.4,0.21212121212121213,0.4,2018-03-31,Q1 2018,6,2943,0.33,0.21212121212121213
GNTX,-2q,2018-01-26,0.01,0.33,BTO,0.32,0.03225806451612906,0.32,2017-12-31,Q4 2017,8,2943,0.31,0.06451612903225812
GNTX,-3q,2017-10-20,,0.31,BTO,0.31,-0.03125000000000003,0.31,2017-09-30,Q3 2017,8,2943,0.32,-0.03125000000000003
GNTX,-4q,2017-07-21,-0.01,0.31,BTO,0.32,0.06666666666666674,0.32,2017-06-30,Q2 2017,8,2943,0.3,0.03333333333333337
GNTY,-1q,2018-04-24,,0.39,,,,,2018-03-31,Q1 2018,,12897,0.4,-0.025000000000000022
GNTY,-2q,2018-01-26,,0.42,,,,,2017-12-31,Q4 2017,,12897,0.38,0.1052631578947368
GNTY,-3q,2017-10-23,-0.01,0.37,BTO,0.38,0.15151515151515146,0.38,2017-09-30,Q3 2017,1.0,12897,0.33,0.12121212121212115
GNTY,-4q,2017-07-24,,0.39,,,,,2017-06-30,,,12897,0.29,0.3448275862068967
GNUS,-1q,2018-05-15,-0.06,-0.18,,-0.12,0.5384615384615385,-0.12,2018-03-31,Q1 2018,1.0,12114,-0.26,0.30769230769230776
GNUS,-2q,2018-03-30,,,,,,,2017-12-31,Q4 2017,,12114,,
GNUS,-3q,2017-11-15,0.08,-0.2,,-0.28,0.26315789473684204,-0.28,2017-09-30,Q3 2017,1.0,12114,-0.38,0.47368421052631576
GNUS,-4q,2017-08-14,,-0.22,,,,,2017-06-30,Q2 2017,,12114,,
GNW,-1q,2018-05-01,0.02,0.25,AMC,0.23,-0.20689655172413784,0.23,2018-03-31,Q1 2018,2,2945,0.29,-0.13793103448275856
GNW,-2q,2018-02-06,0.45,0.65,AMC,0.2,1.7407407407407407,0.2,2017-12-31,Q4 2017,2,2945,-0.27,3.4074074074074074
GNW,-3q,2017-11-02,-0.06,0.15,AMC,0.21,1.2592592592592593,0.21,2017-09-30,Q3 2017,2,2945,-0.81,1.1851851851851851
GNW,-4q,2017-08-01,0.08,0.3,AMC,0.22,-0.12,0.22,2017-06-30,Q2 2017,2,2945,0.25,0.19999999999999996
GOGL,-1q,2018-05-30,0.09,0.12,BTO,0.03,1.1764705882352942,0.03,2018-03-31,Q1 2018,3,7285,-0.17,1.7058823529411766
GOGL,-2q,2018-02-20,0.06,0.19,,0.13,1.1666666666666667,0.13,2017-12-31,Q4 2017,3,7285,0.06,2.166666666666667
GOGL,-3q,2017-11-21,0.05,,BTO,-0.05,0.8,-0.05,2017-09-30,Q3 2017,3,7285,-0.25,
GOGL,-4q,2017-08-17,0.03,-0.1,BTO,-0.13,0.59375,-0.13,2017-06-30,Q2 2017,3,7285,-0.32,0.6875
GOGO,-1q,2018-05-04,0.25,-0.34,BTO,-0.59,-0.13461538461538453,-0.59,2018-03-31,Q1 2018,6,2947,-0.52,0.34615384615384615
GOGO,-2q,2018-02-22,-0.04,-0.52,BTO,-0.48,-0.4117647058823528,-0.48,2017-12-31,Q4 2017,9,2947,-0.34,-0.5294117647058822
GOGO,-3q,2017-11-02,-0.06,-0.57,BTO,-0.51,-0.21428571428571436,-0.51,2017-09-30,Q3 2017,10,2947,-0.42,-0.3571428571428571
GOGO,-4q,2017-08-07,-0.07,-0.56,BTO,-0.49,-0.5806451612903225,-0.49,2017-06-30,Q2 2017,9,2947,-0.31,-0.806451612903226
GOL,-1q,2018-05-09,,0.42,BTO,0.42,,0.42,2018-03-31,Q1 2018,2,2948,0.42,
GOL,-2q,2018-03-07,-0.01,0.24,BTO,0.25,5.999999999999999,0.25,2017-12-31,Q4 2017,3,2948,-0.05,5.799999999999999
GOL,-3q,2017-11-08,0.41,0.6,BTO,0.19,,0.19,2017-09-30,Q3 2017,3,2948,,
GOL,-4q,2017-08-09,-0.61,-0.85,BTO,-0.24,-5.799999999999999,-0.24,2017-06-30,Q2 2017,1,2948,0.05,-18.0
GOLD,-1q,2018-05-10,-0.08,0.6,BTO,0.68,-0.06849315068493142,0.68,2018-03-31,Q1 2018,2.0,2949,0.73,-0.17808219178082194
GOLD,-2q,2018-02-05,-0.05,0.79,BTO,0.84,0.012048192771084348,0.84,2017-12-31,Q4 2017,2.0,2949,0.83,-0.04819277108433726
GOLD,-3q,2017-11-02,,0.51,,,,,2017-09-30,Q3 2017,,2949,0.69,-0.26086956521739124
GOLD,-4q,2017-08-04,0.14,0.88,BTO,0.74,0.423076923076923,0.74,2017-06-30,Q2 2017,1.0,2949,0.52,0.6923076923076923
GOLF,-1q,2018-05-03,-0.03,0.56,BTO,0.59,0.15686274509803913,0.59,2018-03-31,Q1 2018,10,11695,0.51,0.09803921568627459
GOLF,-2q,2018-03-07,-0.01,0.16,BTO,0.17,9.5,0.17,2017-12-31,Q4 2017,10,11695,-0.02,9.0
GOLF,-3q,2017-11-08,0.03,0.12,BTO,0.09,1.4090909090909092,0.09,2017-09-30,Q3 2017,12,11695,-0.22,1.5454545454545454
GOLF,-4q,2017-08-11,-0.11,0.44,BTO,0.55,,0.55,2017-06-30,Q2 2017,10,11695,,
GOOD,-1q,2018-05-01,,0.4,AMC,0.4,0.05263157894736847,0.4,2018-03-31,Q1 2018,3,2951,0.38,0.05263157894736847
GOOD,-2q,2018-02-14,-0.01,0.38,AMC,0.39,0.026315789473684233,0.39,2017-12-31,Q4 2017,3,2951,0.38,
GOOD,-3q,2017-10-31,,0.38,AMC,0.38,,0.38,2017-09-30,Q3 2017,4,2951,0.38,
GOOD,-4q,2017-07-31,-0.01,0.37,AMC,0.38,-0.025641025641025664,0.38,2017-06-30,Q2 2017,1,2951,0.39,-0.05128205128205133
GOOG,-1q,2018-04-23,,9.93,AMC,,,,2018-03-31,Q1 2018,,10656,7.73,0.2846054333764553
GOOG,-2q,2018-02-01,,9.7,AMC,,,,2017-12-31,,,10656,7.56,0.283068783068783
GOOG,-3q,2017-10-26,,9.57,AMC,,,,2017-09-30,Q3 2017,,10656,7.25,0.32000000000000006
GOOG,-4q,2017-07-24,,5.01,AMC,,,,2017-06-30,,,10656,7.0,-0.2842857142857143
GOOGL,-1q,2018-04-23,0.72,9.93,AMC,9.21,0.1914618369987064,9.21,2018-03-31,Q1 2018,13,10657,7.73,0.2846054333764553
GOOGL,-2q,2018-02-01,-0.42,9.7,AMC,10.12,0.3386243386243386,10.12,2017-12-31,Q4 2017,14,10657,7.56,0.283068783068783
GOOGL,-3q,2017-10-26,1.14,9.57,AMC,8.43,0.16275862068965513,8.43,2017-09-30,Q3 2017,17,10657,7.25,0.32000000000000006
GOOGL,-4q,2017-07-24,0.62,5.01,AMC,4.39,-0.3728571428571429,4.39,2017-06-30,Q2 2017,11,10657,7.0,-0.2842857142857143
GOOS,-1q,2018-06-15,0.15,0.07,BTO,-0.08,0.3333333333333333,-0.08,2018-03-31,Q4 2018,4,12463,-0.12,1.5833333333333335
GOOS,-2q,2018-02-08,0.1,0.46,BTO,0.36,,0.36,2017-12-31,Q3 2018,4,12463,,
GOOS,-3q,2017-11-09,0.07,0.23,BTO,0.16,,0.16,2017-09-30,Q2 2018,3,12463,,
GOOS,-4q,2017-08-10,0.05,-0.1,BTO,-0.15,,-0.15,2017-06-30,Q1 2018,4,12463,,
GORO,-1q,2018-05-01,,0.09,,,,,2018-03-31,,,2956,0.08,0.12499999999999993
GORO,-2q,2018-03-08,,0.03,,,,,2017-12-31,Q4 2017,,2956,-0.06,1.5
GORO,-3q,2017-10-31,,0.08,,,,,2017-09-30,,,2956,0.03,1.6666666666666667
GORO,-4q,2017-08-01,,0.02,,,,,2017-06-30,,,2956,0.1,-0.7999999999999999
GOV,-1q,2018-05-03,0.02,0.55,BTO,0.53,-0.05357142857142862,0.53,2018-03-31,Q1 2018,5,2957,0.56,-0.01785714285714287
GOV,-2q,2018-02-26,-0.05,0.5,BTO,0.55,-0.05172413793103434,0.55,2017-12-31,Q4 2017,5,2957,0.58,-0.13793103448275856
GOV,-3q,2017-10-31,,0.42,BTO,0.42,-0.2222222222222223,0.42,2017-09-30,Q3 2017,5,2957,0.54,-0.2222222222222223
GOV,-4q,2017-08-01,0.01,0.6,BTO,0.59,-0.03278688524590167,0.59,2017-06-30,Q2 2017,4,2957,0.61,-0.016393442622950834
GPC,-1q,2018-04-19,-0.05,1.27,BTO,1.32,0.2222222222222222,1.32,2018-03-31,Q1 2018,4,2959,1.08,0.17592592592592587
GPC,-2q,2018-02-20,0.01,1.12,BTO,1.11,0.08823529411764713,1.11,2017-12-31,Q4 2017,3,2959,1.02,0.09803921568627459
GPC,-3q,2017-10-19,-0.12,1.16,BTO,1.28,0.03225806451612906,1.28,2017-09-30,Q3 2017,4,2959,1.24,-0.06451612903225812
GPC,-4q,2017-07-20,-0.02,1.29,BTO,1.31,0.02343750000000002,1.31,2017-06-30,Q2 2017,4,2959,1.28,0.007812500000000007
GPI,-1q,2018-04-26,0.14,1.7,BTO,1.56,0.01960784313725492,1.56,2018-03-31,Q1 2018,4,2961,1.53,0.11111111111111106
GPI,-2q,2018-02-08,0.24,2.11,BTO,1.87,0.07471264367816098,1.87,2017-12-31,Q4 2017,5,2961,1.74,0.21264367816091947
GPI,-3q,2017-10-26,0.39,2.23,BTO,1.84,-0.06122448979591831,1.84,2017-09-30,Q3 2017,7,2961,1.96,0.13775510204081634
GPI,-4q,2017-07-27,-0.12,1.87,BTO,1.99,-0.07870370370370376,1.99,2017-06-30,Q2 2017,6,2961,2.16,-0.13425925925925927
GPIC,-1q,2018-05-11,,,,,,,2018-03-31,,,2962,0.12,
GPIC,-2q,2018-03-23,,0.05,,,,,2017-12-31,,,2962,0.09,-0.4444444444444444
GPIC,-3q,2017-11-13,,0.27,,,,,2017-09-30,,,2962,0.3,-0.09999999999999991
GPIC,-4q,2017-08-11,,0.01,,,,,2017-06-30,,,2962,0.26,-0.9615384615384615
GPK,-1q,2018-04-24,0.02,0.19,BTO,0.17,0.21428571428571425,0.17,2018-03-31,Q1 2018,5,2963,0.14,0.35714285714285704
GPK,-2q,2018-02-06,-0.02,0.17,BTO,0.19,0.35714285714285704,0.19,2017-12-31,Q4 2017,5,2963,0.14,0.21428571428571425
GPK,-3q,2017-10-24,,0.18,BTO,0.18,-0.10000000000000009,0.18,2017-09-30,Q3 2017,5,2963,0.2,-0.10000000000000009
GPK,-4q,2017-07-25,,0.15,BTO,0.15,-0.21052631578947373,0.15,2017-06-30,Q2 2017,6,2963,0.19,-0.21052631578947373
GPL,-1q,2018-05-02,-0.01,,AMC,0.01,-0.5,0.01,2018-03-31,Q1 2018,2,2964,0.02,
GPL,-2q,2018-02-23,-0.02,-0.01,BTO,0.01,2.0,0.01,2017-12-31,Q4 2017,2,2964,-0.01,
GPL,-3q,2017-10-30,-0.02,,AMC,0.02,1.0,0.02,2017-09-30,Q3 2017,2,2964,0.01,
GPL,-4q,2017-08-02,-0.02,,AMC,0.02,,0.02,2017-06-30,Q2 2017,1,2964,,
GPMT,-1q,2018-05-09,,0.35,AMC,0.35,,0.35,2018-03-31,Q1 2018,3,13055,,
GPMT,-2q,2018-02-07,-0.02,0.34,AMC,0.36,,0.36,2017-12-31,Q4 2017,1,13055,,
GPMT,-3q,2017-11-06,-0.06,0.28,AMC,0.34,,0.34,2017-09-30,Q3 2017,2,13055,,
GPMT,-4q,2017-08-07,,,,,,,2017-06-30,Q2 2017,1,13055,,
GPN,-1q,2018-05-03,0.02,1.07,BTO,1.05,0.2962962962962963,1.05,2018-03-31,Q1 2018,10,2966,0.81,0.32098765432098764
GPN,-2q,2018-02-15,0.06,1.07,BTO,1.01,0.1348314606741573,1.01,2017-12-31,Q4 2017,12,2966,0.89,0.202247191011236
GPN,-3q,2017-11-08,0.1,1.13,BTO,1.03,0.1976744186046512,1.03,2017-09-30,Q3 2017,12,2966,0.86,0.3139534883720929
GPN,-4q,2017-08-03,0.02,0.89,BTO,0.87,0.19178082191780824,0.87,2017-06-30,Q2 2017,11,2966,0.73,0.21917808219178087
GPOR,-1q,2018-05-08,0.18,0.56,AMC,0.38,0.1875,0.38,2018-03-31,Q1 2018,12,2967,0.32,0.7500000000000001
GPOR,-2q,2018-02-21,0.07,0.45,AMC,0.38,0.11764705882352934,0.38,2017-12-31,Q4 2017,11,2967,0.34,0.32352941176470584
GPOR,-3q,2017-11-01,-0.03,0.32,AMC,0.35,1.1874999999999998,0.35,2017-09-30,Q3 2017,13,2967,0.16,1.0
GPOR,-4q,2017-08-08,0.08,0.33,AMC,0.25,0.041666666666666706,0.25,2017-06-30,Q2 2017,12,2967,0.24,0.3750000000000001
GPP,-1q,2018-05-07,-0.07,0.41,BTO,0.48,0.04347826086956513,0.48,2018-03-31,Q1 2018,4,10016,0.46,-0.10869565217391314
GPP,-2q,2018-02-07,0.03,0.5,AMC,0.47,-0.06000000000000005,0.47,2017-12-31,Q4 2017,4,10016,0.5,
GPP,-3q,2017-11-01,-0.04,0.45,AMC,0.49,0.1136363636363636,0.49,2017-09-30,Q3 2017,4,10016,0.44,0.02272727272727275
GPP,-4q,2017-07-31,-0.1,0.4,AMC,0.5,0.16279069767441862,0.5,2017-06-30,Q2 2017,4,10016,0.43,-0.06976744186046505
GPRE,-1q,2018-05-07,-0.22,-0.6,BTO,-0.38,-3.2222222222222228,-0.38,2018-03-31,Q1 2018,2,2970,-0.09,-5.666666666666667
GPRE,-2q,2018-02-07,0.04,-0.16,AMC,-0.2,-1.425531914893617,-0.2,2017-12-31,Q4 2017,4,2970,0.47,-1.3404255319148937
GPRE,-3q,2017-11-01,-0.15,-0.18,AMC,-0.03,-1.15,-0.03,2017-09-30,Q3 2017,5,2970,0.2,-1.9
GPRE,-4q,2017-07-31,-0.3,-0.41,AMC,-0.11,-1.523809523809524,-0.11,2017-06-30,Q2 2017,2,2970,0.21,-2.9523809523809526
GPRK,-1q,2018-05-07,,0.3,,,,,2018-03-31,Q1 2018,,8274,0.05,5.0
GPRK,-2q,2018-03-08,-0.41,-0.07,AMC,0.34,2.0,0.34,2017-12-31,Q4 2017,1.0,8274,-0.34,0.7941176470588235
GPRK,-3q,2017-11-16,-0.48,-0.33,,0.15,1.5,0.15,2017-09-30,Q3 2017,1.0,8274,-0.3,-0.10000000000000009
GPRK,-4q,2017-08-16,,0.03,AMC,0.03,2.5,0.03,2017-06-30,Q2 2017,2.0,8274,-0.02,2.5
GPRO,-1q,2018-05-03,0.08,-0.4,AMC,-0.48,0.09433962264150951,-0.48,2018-03-31,Q1 2018,2,8659,-0.53,0.24528301886792453
GPRO,-2q,2018-02-01,-0.24,-0.37,AMC,-0.13,-1.8125000000000002,-0.13,2017-12-31,Q4 2017,2,8659,0.16,-3.3125
GPRO,-3q,2017-11-01,0.14,0.09,AMC,-0.05,0.9285714285714285,-0.05,2017-09-30,Q3 2017,3,8659,-0.7,1.1285714285714286
GPRO,-4q,2017-08-03,0.2,-0.14,AMC,-0.34,0.46875,-0.34,2017-06-30,Q2 2017,4,8659,-0.64,0.78125
GPS,-1q,2018-05-24,-0.03,0.42,AMC,0.45,0.25000000000000006,0.45,2018-04-30,Q1 2019,12,2971,0.36,0.16666666666666666
GPS,-2q,2018-03-01,0.02,0.61,AMC,0.59,0.15686274509803913,0.59,2018-01-31,Q4 2018,13,2971,0.51,0.19607843137254896
GPS,-3q,2017-11-16,0.03,0.58,AMC,0.55,-0.08333333333333323,0.55,2017-10-31,Q3 2018,14,2971,0.6,-0.03333333333333337
GPS,-4q,2017-08-17,0.06,0.58,AMC,0.52,-0.13333333333333328,0.52,2017-07-31,Q2 2018,14,2971,0.6,-0.03333333333333337
GPT,-1q,2018-04-30,0.01,0.51,AMC,0.5,-0.01960784313725492,0.5,2018-03-31,Q1 2018,6,1506,0.51,
GPT,-2q,2018-02-28,,0.52,AMC,0.52,0.08333333333333341,0.52,2017-12-31,Q4 2017,7,1506,0.48,0.08333333333333341
GPT,-3q,2017-10-31,-0.01,0.53,AMC,0.54,,0.54,2017-09-30,Q3 2017,8,1506,0.54,-0.018518518518518535
GPT,-4q,2017-08-01,-0.02,0.49,AMC,0.51,1.4285714285714288,0.51,2017-06-30,Q2 2017,8,1506,0.21,1.3333333333333335
