,,EPSReportDate,EPSSurpriseDollar,actualEPS,announceTime,consensusEPS,estimatedChangePercent,estimatedEPS,fiscalEndDate,fiscalPeriod,numberOfEstimates,symbolId,yearAgo,yearAgoChangePercent
ABC,-4q,2017-08-03,0.06,1.43,BTO,1.37,,1.37,2017-06-30,Q3 2017,8,21,1.37,0.043795620437956075
ABCB,-1q,2018-04-20,-0.05,0.73,BTO,0.78,0.3000000000000001,0.78,2018-03-31,Q1 2018,2,22,0.6,0.21666666666666667
ABCB,-2q,2018-01-26,,0.63,BTO,0.63,0.01612903225806453,0.63,2017-12-31,Q4 2017,3,22,0.62,0.01612903225806453
ABCB,-3q,2017-10-19,-0.02,0.63,BTO,0.65,0.06557377049180334,0.65,2017-09-30,Q3 2017,4,22,0.61,0.03278688524590167
ABCB,-4q,2017-07-21,-0.02,0.63,BTO,0.65,0.1403508771929826,0.65,2017-06-30,Q2 2017,3,22,0.57,0.10526315789473695
ABCD,-1q,2018-05-14,,0.05,BTO,0.05,,0.05,2018-03-31,Q1 2018,1.0,23,0.05,
ABCD,-2q,2018-03-07,,-0.02,BTO,,,,2017-12-31,,,23,0.06,-1.3333333333333335
ABCD,-3q,2017-11-14,,0.14,BTO,,,,2017-09-30,,,23,0.08,0.7500000000000001
ABCD,-4q,2017-08-10,,0.12,BTO,,,,2017-06-30,,,23,0.08,0.4999999999999999
ABDC,-1q,2018-05-07,-0.03,0.27,,0.3,-0.11764705882352951,0.3,2018-03-31,Q1 2018,3,8607,0.34,-0.2058823529411765
ABDC,-2q,2018-03-14,0.01,0.28,,0.27,-0.39999999999999997,0.27,2017-12-31,Q4 2017,1,8607,0.45,-0.3777777777777777
ABDC,-3q,2017-11-06,0.01,0.34,AMC,0.33,-0.05714285714285704,0.33,2017-09-30,Q3 2017,5,8607,0.35,-0.02857142857142844
ABDC,-4q,2017-08-03,,0.36,AMC,0.36,-0.18181818181818185,0.36,2017-06-30,Q2 2017,6,8607,0.44,-0.18181818181818185
ABEO,-1q,2018-05-11,0.01,-0.18,,-0.19,-0.4615384615384615,-0.19,2018-03-31,Q1 2018,3,9600,-0.13,-0.3846153846153845
ABEO,-2q,2018-03-16,-0.06,-0.19,,-0.13,0.3157894736842105,-0.13,2017-12-31,Q4 2017,3,9600,-0.19,
ABEO,-3q,2017-11-15,0.05,-0.13,,-0.18,-1.2499999999999998,-0.18,2017-09-30,Q3 2017,3,9600,-0.08,-0.625
ABEO,-4q,2017-08-15,-0.08,-0.21,,-0.13,0.35000000000000003,-0.13,2017-06-30,Q2 2017,2,9600,-0.2,-0.049999999999999906
ABEV,-1q,2018-05-09,-0.02,0.05,BTO,0.07,0.4000000000000001,0.07,2018-03-31,Q1 2018,1,36,0.05,
ABEV,-2q,2018-03-01,-0.02,0.08,,0.1,0.25000000000000006,0.1,2017-12-31,Q4 2017,1,36,0.08,
ABEV,-3q,2017-10-26,,0.06,BTO,0.06,,0.06,2017-09-30,Q3 2017,1,36,0.06,
ABEV,-4q,2017-07-27,,0.04,BTO,0.04,,0.04,2017-06-30,Q2 2017,1,36,0.04,
ABG,-1q,2018-04-24,0.1,1.93,BTO,1.83,0.1582278481012658,1.83,2018-03-31,Q1 2018,4,26,1.58,0.22151898734177206
ABG,-2q,2018-02-06,0.21,1.81,BTO,1.6,0.025641025641025664,1.6,2017-12-31,Q4 2017,7,26,1.56,0.16025641025641024
ABG,-3q,2017-10-24,-0.09,1.48,BTO,1.57,0.03289473684210529,1.57,2017-09-30,Q3 2017,7,26,1.52,-0.026315789473684233
ABG,-4q,2017-07-25,-0.09,1.58,BTO,1.67,0.012121212121212133,1.67,2017-06-30,Q2 2017,7,26,1.65,-0.04242424242424233
ABIL,-1q,2018-05-15,,,,,,,2017-12-31,,,10960,-0.16,
ABIL,-2q,2017-12-27,,-0.12,,,,,2017-09-30,,,10960,0.06,-3.0
ABIL,-3q,2017-08-30,,-0.13,,,,,2017-06-30,Q2 2017,,10960,-0.13,
ABIL,-4q,2017-07-03,,,,,,,2017-03-31,Q1 2017,,10960,-0.05,
ABIO,-1q,2018-05-08,,-0.2,,,,,2018-03-31,,,28,-0.48,0.5833333333333333
ABIO,-2q,2018-03-22,,-0.34,,,,,2017-12-31,Q4 2017,,28,-0.46,0.2608695652173913
ABIO,-3q,2017-11-09,,-0.39,,,,,2017-09-30,,,28,-0.51,0.23529411764705882
ABIO,-4q,2017-08-03,,-0.59,,,,,2017-06-30,,,28,-0.43,-0.3720930232558139
ABM,-1q,2018-06-06,0.02,0.47,AMC,0.45,-0.08163265306122446,0.45,2018-04-30,Q2 2018,1,29,0.49,-0.04081632653061228
ABM,-2q,2018-03-06,-0.02,0.26,AMC,0.28,-0.26315789473684204,0.28,2018-01-31,Q1 2018,1,29,0.38,-0.3157894736842105
ABM,-3q,2017-12-13,-0.09,0.37,AMC,0.46,-0.09803921568627448,0.46,2017-10-31,Q4 2017,2,29,0.51,-0.27450980392156865
ABM,-4q,2017-09-06,-0.02,0.51,AMC,0.53,-0.018518518518518535,0.53,2017-07-31,Q3 2017,3,29,0.54,-0.0555555555555556
ABMD,-1q,2018-05-03,0.16,0.8,BTO,0.64,0.9393939393939393,0.64,2018-03-31,Q4 2018,7,30,0.33,1.4242424242424243
ABMD,-2q,2018-02-01,0.2,0.7,BTO,0.5,0.47058823529411753,0.5,2017-12-31,Q3 2018,7,30,0.34,1.0588235294117645
ABMD,-3q,2017-10-26,0.07,0.44,BTO,0.37,0.8499999999999999,0.37,2017-09-30,Q2 2018,8,30,0.2,1.2
ABMD,-4q,2017-07-27,0.03,0.45,BTO,0.42,0.4482758620689656,0.42,2017-06-30,Q1 2018,6,30,0.29,0.5517241379310346
ABR,-1q,2018-05-04,0.03,0.25,BTO,0.22,-0.33333333333333337,0.22,2018-03-31,Q1 2018,1,31,0.33,-0.24242424242424246
ABR,-2q,2018-02-23,0.05,0.25,BTO,0.2,-0.04761904761904753,0.2,2017-12-31,Q4 2017,1,31,0.21,0.19047619047619052
ABR,-3q,2017-11-03,0.07,0.25,BTO,0.18,-0.14285714285714285,0.18,2017-09-30,Q3 2017,1,31,0.21,0.19047619047619052
ABR,-4q,2017-08-04,0.02,0.22,BTO,0.2,-0.13043478260869565,0.2,2017-06-30,Q2 2017,1,31,0.23,-0.04347826086956525
ABT,-1q,2018-04-18,0.01,0.59,BTO,0.58,0.2083333333333333,0.58,2018-03-31,Q1 2018,11,34,0.48,0.22916666666666666
ABT,-2q,2018-01-24,0.01,0.74,BTO,0.73,0.12307692307692301,0.73,2017-12-31,Q4 2017,10,34,0.65,0.1384615384615384
ABT,-3q,2017-10-18,0.01,0.66,BTO,0.65,0.10169491525423738,0.65,2017-09-30,Q3 2017,11,34,0.59,0.11864406779661028
ABT,-4q,2017-07-20,0.02,0.62,BTO,0.6,0.09090909090909079,0.6,2017-06-30,Q2 2017,11,34,0.55,0.12727272727272718
ABTX,-1q,2018-04-26,-0.04,0.57,BTO,0.61,0.3555555555555555,0.61,2018-03-31,Q1 2018,1,10446,0.45,0.26666666666666655
ABTX,-2q,2018-01-25,-0.02,0.51,BTO,0.53,0.2045454545454546,0.53,2017-12-31,Q4 2017,1,10446,0.44,0.15909090909090912
ABTX,-3q,2017-10-24,-0.27,0.22,BTO,0.49,0.16666666666666669,0.49,2017-09-30,Q3 2017,2,10446,0.42,-0.47619047619047616
ABTX,-4q,2017-07-25,-0.06,0.4,BTO,0.46,0.15,0.46,2017-06-30,Q2 2017,1,10446,0.4,
ABUS,-1q,2018-05-03,0.02,-0.36,,-0.38,-0.11764705882352934,-0.38,2018-03-31,Q1 2018,3,6816,-0.34,-0.058823529411764594
ABUS,-2q,2018-03-14,-0.51,-0.9,,-0.39,-0.026315789473684233,-0.39,2017-12-31,Q4 2017,2,6816,-0.38,-1.368421052631579
ABUS,-3q,2017-11-02,0.21,-0.17,AMC,-0.38,-0.22580645161290325,-0.38,2017-09-30,Q3 2017,3,6816,-0.31,0.4516129032258064
ABUS,-4q,2017-08-03,0.07,-0.28,AMC,-0.35,,-0.35,2017-06-30,Q2 2017,3,6816,-0.35,0.19999999999999987
ABX,-1q,2018-04-23,,0.15,AMC,0.15,0.07142857142857129,0.15,2018-03-31,Q1 2018,8,39,0.14,0.07142857142857129
ABX,-2q,2018-02-14,0.02,0.22,AMC,0.2,-0.09090909090909087,0.2,2017-12-31,Q4 2017,7,39,0.22,
ABX,-3q,2017-10-25,-0.01,0.16,AMC,0.17,-0.2916666666666666,0.17,2017-09-30,Q3 2017,7,39,0.24,-0.3333333333333333
ABX,-4q,2017-07-26,0.02,0.22,AMC,0.2,0.4285714285714285,0.2,2017-06-30,Q2 2017,7,39,0.14,0.5714285714285713
AC,-1q,2018-05-08,,-0.95,,,,,2018-03-31,,,10827,0.06,-16.833333333333336
AC,-2q,2018-02-21,,0.67,,,,,2017-12-31,,,10827,0.15,3.466666666666667
AC,-3q,2017-11-06,,0.06,,,,,2017-09-30,,,10827,0.16,-0.625
AC,-4q,2017-08-03,,0.19,,,,,2017-06-30,,,10827,0.04,3.75
ACAD,-1q,2018-05-04,0.12,-0.44,BTO,-0.56,0.22222222222222213,-0.56,2018-03-31,Q1 2018,5,41,-0.72,0.38888888888888884
ACAD,-2q,2018-02-27,0.03,-0.55,AMC,-0.58,0.10769230769230778,-0.58,2017-12-31,Q4 2017,6,41,-0.65,0.1538461538461538
ACAD,-3q,2017-11-07,0.1,-0.53,AMC,-0.63,-0.03278688524590167,-0.63,2017-09-30,Q3 2017,6,41,-0.61,0.13114754098360648
ACAD,-4q,2017-08-08,0.16,-0.55,AMC,-0.71,-0.12698412698412692,-0.71,2017-06-30,Q2 2017,6,41,-0.63,0.12698412698412692
ACBI,-1q,2018-04-26,0.02,0.19,AMC,0.17,0.30769230769230776,0.17,2018-03-31,Q1 2018,3,10459,0.13,0.4615384615384615
ACBI,-2q,2018-01-29,-0.08,0.08,BTO,0.16,0.7777777777777779,0.16,2017-12-31,Q4 2017,3,10459,0.09,-0.11111111111111106
ACBI,-3q,2017-10-27,-0.03,0.16,BTO,0.19,0.1875,0.19,2017-09-30,Q3 2017,3,10459,0.16,
ACBI,-4q,2017-07-28,,0.17,BTO,0.17,0.13333333333333347,0.17,2017-06-30,Q2 2017,4,10459,0.15,0.13333333333333347
ACC,-1q,2018-04-23,-0.01,0.62,AMC,0.63,0.01612903225806453,0.63,2018-03-31,Q1 2018,3,44,0.62,
ACC,-2q,2018-02-20,0.01,0.72,AMC,0.71,0.09230769230769222,0.71,2017-12-31,Q4 2017,6,44,0.65,0.10769230769230762
ACC,-3q,2017-10-23,-0.02,0.43,AMC,0.45,-0.021739130434782625,0.45,2017-09-30,Q3 2017,7,44,0.46,-0.06521739130434788
ACC,-4q,2017-07-24,-0.01,0.53,AMC,0.54,,0.54,2017-06-30,Q2 2017,6,44,0.54,-0.018518518518518535
ACCO,-1q,2018-05-01,0.01,0.08,BTO,0.07,0.7500000000000001,0.07,2018-03-31,Q1 2018,3,46,0.04,1.0
ACCO,-2q,2018-02-14,0.04,0.48,BTO,0.44,0.375,0.44,2017-12-31,Q4 2017,3,46,0.32,0.4999999999999999
ACCO,-3q,2017-10-30,0.02,0.35,BTO,0.33,0.13793103448275876,0.33,2017-09-30,Q3 2017,3,46,0.29,0.20689655172413793
ACCO,-4q,2017-08-01,0.04,0.31,BTO,0.27,0.08000000000000007,0.27,2017-06-30,Q2 2017,3,46,0.25,0.24
ACER,-1q,2018-05-14,0.16,-0.53,,-0.69,0.44354838709677424,-0.69,2018-03-31,Q1 2018,3.0,5176,-1.24,0.5725806451612903
ACER,-2q,2018-03-07,-0.07,-0.63,,-0.56,,-0.56,2017-12-31,Q4 2017,2.0,5176,,
ACER,-3q,2017-11-13,,-1.09,,,,,2017-09-30,Q3 2017,,5176,-2.9,0.6241379310344827
ACER,-4q,2017-08-14,,-0.93,,,,,2017-06-30,Q2 2017,,5176,-3.11,0.7009646302250804
ACET,-1q,2018-05-03,-0.24,0.01,AMC,0.25,-0.358974358974359,0.25,2018-03-31,Q3 2018,1,49,0.39,-0.9743589743589743
ACET,-2q,2018-02-01,-0.01,0.22,AMC,0.23,-0.04166666666666659,0.23,2017-12-31,Q2 2018,2,49,0.24,-0.0833333333333333
ACET,-3q,2017-11-02,0.02,0.3,AMC,0.28,,0.28,2017-09-30,Q1 2018,2,49,0.28,0.07142857142857129
ACET,-4q,2017-08-24,-0.2,0.27,AMC,0.47,0.34285714285714286,0.47,2017-06-30,Q4 2017,2,49,0.35,-0.22857142857142848
ACGL,-1q,2018-05-01,0.04,0.56,AMC,0.52,0.10638297872340435,0.52,2018-03-31,Q1 2018,6,53,0.47,0.19148936170212785
ACGL,-2q,2018-02-12,0.07,0.45,AMC,0.38,-0.663716814159292,0.38,2017-12-31,Q4 2017,6,53,1.13,-0.6017699115044248
ACGL,-3q,2017-10-25,-0.06,-0.26,AMC,-0.2,-1.175438596491228,-0.2,2017-09-30,Q3 2017,7,53,1.14,-1.2280701754385965
ACGL,-4q,2017-07-26,,0.4,AMC,0.4,-0.6460176991150441,0.4,2017-06-30,Q2 2017,6,53,1.13,-0.6460176991150441
ACH,-1q,2018-04-23,,,,,,,2018-03-31,,,54,,
ACH,-2q,2018-04-03,,,,,,,2017-12-31,,,54,,
ACH,-3q,2017-10-02,,,,,,,2017-06-30,,,54,,
ACH,-4q,2017-07-06,,,,,,,2017-03-31,,,54,,
ACHC,-1q,2018-05-01,0.04,0.52,AMC,0.48,0.04347826086956513,0.48,2018-03-31,Q1 2018,8,55,0.46,0.13043478260869565
ACHC,-2q,2018-02-21,0.06,0.61,AMC,0.55,-0.0677966101694914,0.55,2017-12-31,Q4 2017,9,55,0.59,0.0338983050847458
ACHC,-3q,2017-10-24,-0.07,0.58,AMC,0.65,0.12068965517241391,0.65,2017-09-30,Q3 2017,12,55,0.58,
ACHC,-4q,2017-07-27,0.01,0.66,AMC,0.65,-0.10958904109589036,0.65,2017-06-30,Q2 2017,10,55,0.73,-0.09589041095890405
ACHN,-1q,2018-05-02,-0.01,-0.15,,-0.14,0.06666666666666654,-0.14,2018-03-31,Q1 2018,3,56,-0.15,
ACHN,-2q,2018-02-22,-0.02,-0.17,BTO,-0.15,-4.0,-0.15,2017-12-31,Q4 2017,3,56,-0.03,-4.666666666666667
ACHN,-3q,2017-11-01,0.04,-0.14,,-0.18,-0.2,-0.18,2017-09-30,Q3 2017,3,56,-0.15,0.06666666666666654
ACHN,-4q,2017-08-08,,-0.16,AMC,-0.16,-0.14285714285714277,-0.16,2017-06-30,Q2 2017,3,56,-0.14,-0.14285714285714277
ACHV,-1q,2018-05-09,,-0.24,,,,,2018-03-31,,,5116,-0.11,-1.1818181818181819
ACHV,-2q,2018-03-01,,-0.32,,,,,2017-12-31,Q4 2017,,5116,-0.19,-0.6842105263157895
ACHV,-3q,2017-11-09,,-0.9,,,,,2017-09-30,,,5116,-0.16,-4.625
ACHV,-4q,2017-07-31,,-0.1,,,,,2017-06-30,,,5116,-0.18,0.4444444444444444
ACIA,-1q,2018-05-03,0.04,-0.03,AMC,-0.07,-1.0813953488372092,-0.07,2018-03-31,Q1 2018,2,10954,0.86,-1.0348837209302326
