,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
MCRN,-3q,-1900000,8800000,216000000,658800000,93400000,16700000,98700000,12300000,68800000,-4400000,29900000,314700000,2017-09-30,,502200000,1822500000.0,93400000,935800000,1320300000.0,314700000
MCRN,-4q,4300000,7300000,205400000,637800000,94100000,16400000,103800000,10100000,71600000,-3100000,32200000,309200000,2017-06-30,,463800000,1781000000.0,94100000,937300000,,309200000
MCS,-1q,-7341000,11977000,90182000,57455000,13406000,19604000,78009000,9821000,60993000,-253000,17016000,140893000,2018-03-31,,449483000,992056000.0,8211000,336657000,,168191000
MCS,-2q,9682000,58100000,89845000,76721000,16248000,19586000,68322000,34441000,50928000,-3435000,17394000,158167000,2017-12-31,,445024000,1017797000.0,16248000,337681000,572773000.0,158167000
MCS,-3q,-1768000,24335000,79753000,62458000,6566000,18874000,74065000,10978000,52630000,575000,21435000,153818000,2017-09-30,,415203000,983860000.0,6566000,357552000,568657000.0,153818000
MCS,-4q,-1110000,717000,82499000,62168000,8334000,18825000,70276000,10124000,51535000,108000,18741000,152775000,2017-06-30,,406627000,968514000.0,8334000,349823000,,152775000
MCV,-1q,15421221,59378458,,,65429622,,,-28778621,,104020865,,,2018-03-31,,382274960,826093679.0,,,,-25221930
MCV,-2q,-58563557,-28847683,,,50008401,,,-31943988,,47999727,,,2017-12-31,,419769455,900023973.0,,,480254518.0,-25251500
MCV,-3q,-9614344,29612009,,,108571958,,,-12152748,,99881476,,,2017-09-30,,460429317,959560393.0,,,,-5153028
MCV,-4q,34663319,51314234,,,118186302,,,2998583,,173788287,,,2017-06-30,,481297939,1011641412.0,,,,9804020
MCY,-1q,-1343000,78351000,,,290070000,,,-42607000,,58735000,,,2018-03-31,,1684221000,5132787000.0,,,,783184000
MCY,-2q,6774000,64940000,,,291413000,,,19779000,,-17087000,,,2017-12-31,,1761387000,5101323000.0,,,,857254000
MCY,-3q,23214000,101720000,,,284639000,,,46485000,,-24025000,,,2017-09-30,,1776191000,5025599000.0,,,,858357000
MCY,-4q,24841000,100522000,,,261425000,,,51633000,,-21156000,,,2017-06-30,,1763192000,4938983000.0,,,,852847000
MD,-1q,-19261000,-113634000,,622675000,60939000,1131000,,63428000,797424000,,104433000,901857000,2018-03-31,,3143488000,5883074000.0,51783000,1966399000,,901857000
MD,-2q,31797000,195635000,,627235000,80200000,1401000,,136103000,785117000,,125703000,910820000,2017-12-31,,3066454000,5867278000.0,70492000,1852824000,,910820000
MD,-3q,7980000,199930000,,653323000,48403000,29306000,,65880000,742519000,,126432000,868951000,2017-09-30,,2916574000,5680523000.0,59377000,1826456000,,868951000
MD,-4q,-1416000,137576000,,557570000,40423000,27040000,,63698000,721040000,,121904000,842944000,2017-06-30,,2838248000,5407396000.0,51584000,1773171000,,842944000
MDB,-1q,49720000,-8049000,13749000,325719000,112139000,,34473000,-29164000,63761000,,-29288000,48222000,2018-04-30,18645000,172507000,400227000.0,270988000,,,48222000
MDB,-2q,-180947000,-7712000,12401000,343550000,62427000,,32640000,-26374000,59893000,,-27253000,45041000,2018-01-31,16788000,193493000,415196000.0,278974000,,221703000.0,45041000
MDB,-3q,201956000,-10300000,11071000,338859000,243265000,,30417000,-24216000,54467000,,-24050000,41488000,2017-10-31,16588000,213185000,353995000.0,288555000,,,41488000
MDB,-4q,-3108000,-15148000,10188000,139593000,41287000,,25412000,-26079000,51574000,,-26162000,35600000,2017-07-31,15749000,28232000,157916000.0,92451000,,,35600000
MDC,-1q,-106660000,-61486000,506013000,2571963000,407580000,90126000,120710000,38764000,72494000,1153000.0,48216000,620384000,2018-03-31,,1432493000,2787162000.0,401382000,1092058000,,626723000
MDC,-2q,127610000,-3692000,592342000,2563783000,505428000,112340000,131772000,24552000,81379000,,50393000,717043000,2017-12-31,,1407287000,2780292000.0,505428000,1113937000,,724114000
MDC,-3q,39842000,-51723000,499795000,2373958000,377818000,65103000,103956000,61163000,69102000,-52211000.0,34854000,597463000,2017-09-30,,1390919000,2566302000.0,377818000,922635000,,603751000
MDC,-4q,17463000,26550000,548779000,2252209000,337976000,69127000,119265000,33871000,70709000,-1197000.0,48556000,661668000,2017-06-30,,1363653000,2536411000.0,337976000,926359000,,668044000
MDCA,-1q,-17283000,-61033000,243030000,552745000,29202000,322000,83938000,-29416000,96254000,6797000,-12316000,326968000,2018-03-31,,-240626000,1701077000.0,29202000,943128000,,326968000
MDCA,-2q,28078000,93165000,268673000,542771000,46179000,313000,134074000,222668000,69700000,-5526000,64374000,402747000,2017-12-31,,-213543000,1698892000.0,46179000,883119000,1912435000.0,402747000
MDCA,-3q,-2586000,-1613000,249418000,532787000,18861000,300000,126382000,18493000,89162000,-8362000,37220000,375800000,2017-09-30,,-434420000,1617831000.0,18861000,931189000,2052251000.0,375800000
MDCA,-4q,-1803000,56951000,267822000,551650000,20347000,289000,122710000,11253000,96329000,-6220000,26381000,390532000,2017-06-30,,-453995000,1650254000.0,20347000,909405000,,390532000
MDCO,-1q,65567000,-109321000,2737000,283071000,221505000,655943000.0,5034000,29149000,69317000,-138198000,-64283000,7771000,2018-03-31,40366000,67656000,861174000.0,240483000,1311886000.0,,7771000
MDCO,-2q,-14304000,-63514000,7757000,563304000,151359000,649198000.0,-22797000,-178260000,-6722000,937000,-16075000,-15040000,2017-12-31,21033000,24914000,872983000.0,151359000,1298396000.0,,-15040000
MDCO,-3q,-35870000,-129422000,9601000,297838000,166734000,,7270000,-30175000,93036000,825000,-85766000,16871000,2017-09-30,45838000,188055000,1006980000.0,208902000,,,16871000
MDCO,-4q,-235082000,-55750000,16282000,436028000,202422000,330637000.0,2460000,-397268000,82672000,171000,-80212000,18742000,2017-06-30,33072000,142953000,1151109000.0,333967000,636154000.0,,18742000
MDGL,-1q,-110502000,-8644000,,183199000,38125000,,,-6364000,7069000,,-7069000,,2018-03-31,5198000,177184000,183478000.0,182825000,,,
MDGL,-2q,135667000,-5945000,,192012000,148627000,,,-8445000,8911000,,-8911000,,2017-12-31,6512000,182259000,192313000.0,191527000,,,
MDGL,-3q,-21837000,-4951000,,62720000,12960000,,,-8363000,8637000,,-8637000,,2017-09-30,6682000,54308000,62831000.0,62137000,,,
MDGL,-4q,26582000,-7650000,,67947000,34797000,,,-8347000,8439000,,-8439000,,2017-06-30,6816000,61631000,68067000.0,67166000,,,
MDGS,-1q,-1314000,-1312000,83000,5530000,1520000,,-16000,-1080000,1136000,-69000,-1152000,67000,2018-03-31,491000,4469000,5865000.0,5018000,,,67000
MDGS,-2q,1569000,-855000,74000,6814000,2828000,,80000,22000,1345000,-2565000,-1265000,154000,2017-12-31,464000,5511000,7210000.0,2828000,,,154000
MDGS,-3q,-1207000,-1213000,69000,6359000,1245000,,48000,-1342000,1303000,-8000,-1255000,117000,2017-09-30,654000,4357000,6829000.0,1245000,,,117000
MDGS,-4q,-6003000,-1466000,29000,7541000,2444000,,53000,788000,1401000,-20000,-1348000,82000,2017-06-30,615000,5534000,8236000.0,2444000,,,82000
MDLY,-1q,-6094000,2533000,8331000,40565000,30069000,,6065000,-1228000,4509000,-180000,1556000,14396000,2018-03-31,,-10220000,103275000.0,30446000,,,14396000
MDLY,-2q,-3972000,6145000,9522000,61946000,36163000,235000.0,8947000,-502000,4113000,114000,4834000,18469000,2017-12-31,,-7971000,127922000.0,36327000,126360000.0,135893000.0,18469000
MDLY,-3q,-8311000,4190000,6368000,57015000,40135000,270000.0,10284000,461000,3510000,-5000,6774000,16652000,2017-09-30,,-6310000,135486000.0,40481000,126034000.0,141796000.0,16652000
MDLY,-4q,-22353000,350000,5755000,64563000,48446000,,10689000,574000,2754000,-81000,7935000,16444000,2017-06-30,,-4922000,144459000.0,47298000,,,16444000
MDLZ,-1q,362000000,407000000,3916000000,8370000000,1130000000,5608000000,2849000000,938000000,1571000000,49000000,1278000000,6765000000,2018-03-31,,26452000000,64503000000.0,1130000000,18788000000,,6765000000
MDLZ,-2q,-90000000,1796000000,4302000000,7520000000,761000000,4680000000,2664000000,802000000,1702000000,-257000000,962000000,6966000000,2017-12-31,,26111000000,63109000000.0,761000000,17652000000,,6966000000
MDLZ,-3q,-579000000,535000000,3978000000,8155000000,844000000,5715000000,2552000000,992000000,1375000000,-279000000,1177000000,6530000000,2017-09-30,,26031000000,63291000000.0,844000000,18633000000,,6530000000
MDLZ,-4q,66000000,819000000,3662000000,8193000000,1397000000,5555000000,2324000000,498000000,1493000000,-43000000,831000000,5986000000,2017-06-30,,25720000000,62757000000.0,1397000000,18781000000,,5986000000
MDP,-1q,341411000,-4972000,249500000,2114400000,372200000,30500000,399300000,-110100000,328600000,26782000.0,70700000,462300000,2018-03-31,,1136500000,6861300000.0,372200000,3151100000,,648800000
MDP,-2q,7165000,50186000,158746000,542913000,34976000,82472000,258952000,159308000,201842000,,57110000,299487000,2017-12-31,,1146838000,2747987000.0,34976000,714024000,,417698000
MDP,-3q,5524000,51386000,155802000,535723000,27811000,82273000,236969000,33441000,180171000,-3282000.0,56798000,278176000,2017-09-30,,1007761000,2769363000.0,27811000,725032000,,392771000
MDP,-4q,-4983000,41346000,154385000,505253000,22287000,71706000,291076000,43328000,224380000,,66696000,320612000,2017-06-30,,995972000,2729623000.0,22287000,707443000,,445461000
MDR,-1q,10502000,37096000,475711000,1416629000,418799000,24264000,132107000,35189000,49392000,3713000,82715000,607818000,2018-03-31,458000,1811909000,3200648000.0,412725000,537258000,,607818000
MDR,-2q,-26173000,302000,596494000,1434250000,408192000,24264000,121639000,25516000,58681000,-1809000,62958000,718133000,2017-12-31,1988000,1760666000,3222820000.0,390263000,536977000,,718133000
MDR,-3q,25574000,45319000,773910000,1638509000,434573000,19035000,184621000,94701000,57328000,3441000,127293000,958531000,2017-09-30,1657000,1729031000,3461435000.0,416352000,540677000,,958531000
MDR,-4q,-232826000,41731000,650449000,1437657000,408880000,13807000,138224000,36413000,50843000,4127000,87381000,788673000,2017-06-30,821000,1627827000,3291448000.0,393726000,540499000,,788673000
MDRX,-1q,-18791000,58308000,292951000,911064000,143772000,32016000,220975000,-27725000,225295000,111000,-4320000,513926000,2018-03-31,69977000,1071720000,4370212000.0,135003000,1729345000,,513926000
MDRX,-2q,53010000,106232000,303235000,845834000,162498000,38307000,214099000,16781000,229922000,179000,-15823000,517334000,2017-12-31,73471000,1120882000,4230150000.0,155839000,1577330000,,517334000
MDRX,-3q,20110000,63824000,247523000,667997000,109424000,35816000,201919000,-17625000,176546000,968000,25373000,449442000,2017-09-30,51057000,1105394000,3883388000.0,104301000,1416478000,,449442000
MDRX,-4q,-15454000,33882000,238600000,622793000,89114000,32446000,187491000,-142747000,166387000,1082000,21104000,426091000,2017-06-30,46459000,1124565000,3784055000.0,82714000,1346529000,,426091000
MDSO,-1q,-11332000,4976000,36302000,707528000,232108000,281894000.0,112896000,10325000,99570000,96000.0,13326000,149198000,2018-03-31,37522000,522203000,1075981000.0,523404000,374946000.0,,149198000
MDSO,-2q,108725000,30172000,32705000,637616000,242843000,278094000.0,108512000,13768000,87270000,80000.0,21242000,141217000,2017-12-31,36536000,497432000,1046114000.0,484292000,370935000.0,,141217000
MDSO,-3q,17552000,30872000,31554000,542859000,133950000,274345000.0,108526000,12844000,91336000,-6000.0,17190000,140080000,2017-09-30,36207000,467688000,913714000.0,397786000,,,140080000
MDSO,-4q,20024000,38217000,31920000,512699000,116221000,,105494000,8250000,91751000,,13743000,137414000,2017-06-30,35884000,442792000,888855000.0,367109000,,,137414000
MDT,-1q,-2679000000,1038000000,2395000000,22980000000,3669000000,2058000000,5749000000,1460000000,3780000000,38000000.0,1969000000,8144000000,2018-04-30,592000000,50720000000,91393000000.0,11227000000,25763000000,,8144000000
MDT,-2q,775000000,2002000000,2191000000,26607000000,6358000000,2902000000,5178000000,-1389000000,3658000000,227000000.0,1520000000,7369000000,2018-01-31,558000000,50234000000,95800000000.0,14436000000,28810000000,,7369000000
MDT,-3q,813000000,907000000,2120000000,25162000000,5529000000,3131000000,4930000000,2017000000,3564000000,,1366000000,7050000000,2017-10-31,555000000,51469000000,94458000000.0,13526000000,29042000000,,7050000000
MDT,-4q,-321000000,737000000,2349000000,24779000000,4691000000,8058000000,5041000000,1016000000,3553000000,,1488000000,7390000000,2017-07-31,548000000,50672000000,100250000000.0,13088000000,33970000000,,7390000000
MDU,-1q,24165000,105791000,805334000,1040814000,58764000,149199000,170959000,42437000,101583000,,69376000,976293000,2018-03-31,,2426111000,6348852000.0,58764000,1779542000,,976293000
MDU,-2q,-2757000,176110000,947947000,1069995000,34599000,148499000,217292000,115312000,91748000,,125544000,1165239000,2017-12-31,,2429043000,6334666000.0,34599000,1714853000,,1165239000
MDU,-3q,-2692000,132408000,1025134000,1099242000,37356000,148499000,247414000,87351000,91037000,,156377000,1272548000,2017-09-30,,2353917000,6344445000.0,37356000,1740552000,,1272548000
MDU,-4q,-10686000,52954000,895349000,1015970000,40048000,83499000,172290000,41215000,92611000,,79679000,1067639000,2017-06-30,,2302952000,6230498000.0,40048000,1761476000,,1067639000
MDWD,-1q,-26062000,-3131000,381000,38205000,9991000,,139000,-4551000,3853000,41000.0,-3714000,520000,2018-03-31,1193000,5028000,40800000.0,9991000,,,520000
MDWD,-2q,10547000,-4405000,416000,41520000,36069000,,114000,-2369000,3638000,-109000.0,-3524000,530000,2017-12-31,1183000,9620000,44135000.0,36069000,,,530000
MDWD,-3q,22638000,-3052000,338000,46468000,25402000,,401000,-11004000,3198000,,-2797000,739000,2017-09-30,844000,11785000,49011000.0,25402000,,,739000
MDWD,-4q,-1452000,-4239000,484000,25135000,2775000,,203000,-4462000,3906000,,-3703000,687000,2017-06-30,1664000,-356000,27320000.0,2775000,,27676000.0,687000
MDXG,-1q,-11011000,17951000,9599000,114110000,36522000,,74974000,17457000,66132000,-4274000.0,8842000,84573000,2017-09-30,5481000,142472000,178707000.0,36522000,,36235000,84573000
MDXG,-2q,16609000,13483000,8631000,132546000,47533000,,67781000,8069000,60568000,,7213000,76412000,2017-06-30,4747000,147270000,199865000.0,47533000,,52595000,76412000
MDXG,-3q,-3467000,10640000,8743000,121898000,30924000,,63864000,4327000,57679000,,6185000,72607000,2017-03-31,4202000,129036000,188491000.0,30924000,,59455000,72607000
MDXG,-4q,16053000,16680000,9069000,126538000,34391000,,60807000,5481000,52092000,,8715000,69876000,2016-12-31,3456000,133000000,193263000.0,34391000,,60263000,69876000
MED,-1q,11886000,18008000,23788000,131131000,86963000,,74808000,12222000,60125000,271000,14683000,98596000,2018-03-31,,113630000,151817000.0,109241000,,,98596000
MED,-2q,4608000,9983000,18881000,125198000,75077000,,59126000,7306000,49640000,10000,9486000,78007000,2017-12-31,,108581000,145929000.0,98834000,,,78007000
MED,-3q,7014000,12505000,19022000,115312000,70553000,,58183000,6686000,47956000,16000,10227000,77205000,2017-09-30,,108210000,134463000.0,95734000,,,77205000
MED,-4q,9558000,14066000,18118000,110724000,63532000,,57611000,7584000,46301000,139000,11310000,75729000,2017-06-30,,104175000,129515000.0,88552000,,,75729000
MEDP,-1q,-4640000,23298000,117254000,153754000,22252000,16500000,45823000,14551000,25704000,,20119000,163077000,2018-03-31,,511073000,973024000.0,22245000,197567000,,163077000
MEDP,-2q,2035000,28652000,68803000,129971000,26492000,16500000,43879000,11291000,28442000,,15437000,112682000,2017-12-31,,503530000,950717000.0,26485000,221611000,,112682000
MEDP,-3q,-5493000,39000000,65106000,117029000,24247000,15469000,45537000,9831000,28339000,,17198000,110643000,2017-09-30,,550250000,948876000.0,24168000,184621000,398626000.0,110643000
MEDP,-4q,-884000,30408000,63619000,123123000,29330000,14438000,42597000,9553000,26318000,,16279000,106216000,2017-06-30,,607358000,963646000.0,29055000,157629000,,106216000
MEET,-1q,3346913,7435472,,51752305,28469456,15227678,,-4212661,38248311,-103043,-610518,37637793,2018-03-31,22101537,183806071,272552144.0,27969456,52358676.0,,37637793
MEET,-2q,-101147,8600205,,53847293,25052995,15254399,,-68116890,36207646,341,3911430,40119076,2017-12-31,19698097,185540560,275344771.0,24158444,56083642.0,89804211.0,40119076
MEET,-3q,-7619841,6008196,,49453565,25536307,18901,,2222722,28613434,-9357,3633038,32246472,2017-09-30,16021977,252097914,272074694.0,24642002,,19976780.0,32246472
MEET,-4q,-41764068,7974386,,58416885,33146791,7581761,,856595,29252721,9229,2076747,31329468,2017-06-30,16526905,247555779,278274133.0,32252734,13206761.0,30718354.0,31329468
MEI,-1q,-53600000,30700000,187100000,550000000,246100000,4400000,61900000,36800000,34300000,,27600000,249000000,2018-04-30,,630000000,915900000.0,246100000,57800000,,249000000
MEI,-2q,29300000,41900000,167900000,605300000,304000000,2900000,60100000,-24300000,24500000,,35600000,228000000,2018-01-31,,607200000,959800000.0,304000000,118900000,,228000000
MEI,-3q,-37600000,21600000,168100000,568900000,258600000,2300000,62000000,24200000,32300000,,29700000,230100000,2017-10-31,,606800000,898300000.0,258600000,107800000,,230100000
MEI,-4q,-12000000,23600000,145600000,546900000,297900000,3800000,55600000,20500000,30200000,,25400000,201200000,2017-07-31,,589400000,783400000.0,297900000,51400000,,201200000
MEIP,-1q,-1141000,-6239000,930000,37056000,6198000,,-497000,-5948000,5557000,,-6054000,433000,2018-03-31,3071000,32913000,37397000.0,36202000,,,433000
MEIP,-2q,381000,-4751000,728000,43213000,7339000,,-370000,-6079000,5802000,,-6172000,358000,2017-12-31,3444000,38358000,43567000.0,42441000,,,358000
MEIP,-3q,-1500000,-6562000,618000,47664000,6958000,,-335000,-8788000,8552000,,-8887000,283000,2017-09-30,6064000,43566000,48031000.0,47023000,,,283000
MEIP,-4q,-3186000,-3146000,988000,55323000,8458000,,-539000,-4343000,3899000,,-4438000,449000,2017-06-30,2073000,50838000,55704000.0,53565000,,,449000
MELI,-1q,-37077000,-37006000,158218000,1285560000,350411000,134466000,162758000,-12919000,192177000,,-29419000,320976000,2018-03-31,38396000,252867000,1719687000.0,509857000,449419000,,320976000
MELI,-2q,-60411000,26621000,233616000,1286919000,388260000,56325000,203362000,-67720000,182210000,85761000.0,21152000,436978000,2017-12-31,34141000,325779000,1673187000.0,597692000,368414000,,436978000
MELI,-3q,79050000,16075000,194834000,1182156000,461198000,24701000,175827000,27666000,148285000,2961000.0,27542000,370661000,2017-09-30,32380000,406156000,1618292000.0,636363000,334145000,,370661000
MELI,-4q,116426000,121557000,144975000,958185000,382791000,18240000,171554000,5316000,138692000,,32862000,316529000,2017-06-30,30338000,459015000,1511438000.0,588956000,324946000,,316529000
MELR,-1q,1552000,571000,,,19155000,,,483000,,-106000,,,2018-03-31,,44436000,311105000.0,,,,2026000
MELR,-2q,-5488000,285000,,,17603000,,,225000,,-190000,,,2017-12-31,,44993000,307526000.0,,,,1977000
MELR,-3q,3790000,482000,,,23091000,,,631000,,-388000,,,2017-09-30,,44821000,298702000.0,,,,2251000
MELR,-4q,3616000,95000,,,19301000,,,421000,,-343000,,,2017-06-30,,44286000,294132000.0,,,,2089000
MEOH,-1q,-4440000,244328000,,1359608000,371039000,43383000,,168683000,719737000,-20462000,242088000,961825000,2018-03-31,,1605878000,4784140000.0,371039000,1500651000,,961825000
MEOH,-2q,68019000,186226000,,1243127000,375479000,55905000,,68039000,-1288753000,-18351000,138384000,861433000,2017-12-31,,1500764000,4610742000.0,375479000,1502271000,,861433000
MEOH,-3q,-53873000,131100000,624505000.0,1153536000,307460000,57072000,95191000.0,32381000,682434000,-18889000,37262000,719696000,2017-09-30,,1522838000,4590962000.0,307460000,1506614000,3068124000.0,719696000
MEOH,-4q,46200000,249762000,502396000.0,1173050000,361333000,55534000,166768000.0,84146000,563405000,-21766000,105759000,669164000,2017-06-30,,1601855000,4638221000.0,361333000,1531152000,3036366000.0,669164000
MERC,-1q,-247707000,76377000,277494000,627642000,213566000,,90409000,25649000,14361000,21909000,76048000,367903000,2018-03-31,,584494000,1507180000.0,213566000,,,367903000
MERC,-2q,301009000,38669000,319232000,852339000,460738000,295924000.0,18454000,41718000,-47838000,-158000,66292000,337686000,2017-12-31,,550666000,1724710000.0,143299000,986385000.0,,337686000
MERC,-3q,10804000,33787000,229314000,513605000,159342000,,76184000,21143000,34895000,91000,41289000,305498000,2017-09-30,,498001000,1385882000.0,157217000,,,305498000
MERC,-4q,-49238000,16085000,230910000,474478000,144643000,,52267000,-2104000,33780000,221000,18487000,283177000,2017-06-30,,445249000,1328382000.0,142589000,,,283177000
MESO,-1q,12057000,,1709000.0,86069000,59539000,,-639000.0,-21137000,22968000,,-23607000,991000,2018-03-31,16798000,556135000,677859000.0,59539000,,,1070000
MESO,-2q,-15438000,-14865000.0,,72272000,47386000,,,13703000,22666000,,-9269000,13397000,2017-12-31,16222000,575605000,664811000.0,47386000,,89206000.0,13397000
MESO,-3q,17466000,-20356000.0,,80327000,62941000,,,-7022000,21257000,-93000.0,-20083000,1174000,2017-09-30,15368000,559590000,671898000.0,62941000,,112308000.0,1174000
MESO,-4q,-23326000,-23435000.0,,63609000,45761000,,,-27182000,36344000,8000.0,-24863000,941000,2017-06-30,15939000,516766000,655686000.0,45761000,,,566000
MET,-1q,1029000000,1296000000,,,13927000000,526000000,,1253000000,,,,,2018-03-31,,56310000000,712584000000.0,,19378000000,,14805000000
MET,-2q,-263000000,2050000000,,,12701000000,477000000,,2381000000,,,,,2017-12-31,,58676000000,719892000000.0,,19307000000,,15993000000
MET,-3q,-4392000000,4734000000,,,13023000000,214000000,,-81000000,,,,,2017-09-30,,56714000000,720515000000.0,,20046000000,,16104000000
MET,-4q,-165000000,3401000000,,,17319000000,235000000,,884000000,,,,,2017-06-30,,69455000000,925199000000.0,,22912000000,,17245000000
METC,-1q,1389528,3436361,44330847,44308035,7323571,5790935.0,11612301,5266277,5992112,,5620189,55943148,2018-03-31,,119214368,173275475.0,7323571,,,55943148
METC,-2q,-3329313,3768403,22743573,29461615,5934043,,1275478,-2599891,3932522,,-2657044,24019051,2017-12-31,,113397286,148098031.0,11133904,,,24019051
METC,-3q,6405342,-12031931,14751276,37165773,9263356,,-346297,-6235543,5996231,,-6342528,14404979,2017-09-30,,115642304,143547102.0,29123308,,,14404979
METC,-4q,-11110032,-125600,10474961,57752846,2858014,,598541,-3487971,4308135,,-3709594,11073502,2017-06-30,,121557841,149087956.0,52700895,,,11073502
MFA,-1q,-241278000,5896000,,,221786000,,,83395000,,-29836000,,,2018-03-31,,3235431000,10615212000.0,,,,100858000
MFA,-2q,-158416000,57096000,,,449757000,,,100594000,,-15368000,,,2017-12-31,,3261636000,10954734000.0,,,,117392000
MFA,-3q,-137307000,22830000,,,608173000,,,63805000,,-20857000,,,2017-09-30,,3257651000,11103459000.0,,,,84955000
MFA,-4q,371391000,51785000,,,745480000,,,79935000,,-5710000,,,2017-06-30,,3274644000,11536816000.0,,,,97461000
MFC,-1q,530532500,2980276000,,,12491136000,,,1024663500,,,,,2018-03-31,,33386371500,572992913500.0,,,,6773777000
MFC,-2q,419849760,4083993120,,,12005476660,,,-1387571650,,,,,2017-12-31,,32788039780,580102755610.0,,,,12919126990
MFC,-3q,-195085880,3707437860,,,11697091400,,,985909220,,,,,2017-09-30,,34560834080,575080928640.0,,,,9619668620
MFC,-4q,182789331,3756822073,,,11692347080,,,966392539,,,,,2017-06-30,,33451218836,559741037198.0,,,,12797566959
MFCB,-1q,2805359.76,9414017.63,49421405.84,118703772.77,59534377.9,36424352.19,-19697951.24,-26952287.15,8785833.33,10272006.06,-28483784.57,11052067.83,2017-12-31,,220882322.6,315640345.99,63611214.49,47317386.019999996,,29723454.6
MFCB,-2q,8701475.16,3767092.22,39588729.26,210344497.92,50859372.6,74440579.88,6567622.58,-5813075.54,7541439.7,619921.66,-973817.12,46156351.84,2017-09-30,,244987558.28,406791142.24,55103699.7,116405003.72,,46156351.84
MFCB,-3q,-5089564.537,602356.403,46784813.58,202705655.449,42060827.705,67464688.399,5507589.083,-3589458.002,10379657.454,-2392457.826,-4872068.371,52292402.663,2017-06-30,,243202361.79,398025696.41,46016635.632,112695407.03400001,,52292402.663
MFCB,-4q,-42891807.882,-15382314.27,68815023.795,215751784.416,45987038.811,63460867.359,14233708.08,-1572764.685,10874973.378,689914.437,3358734.702,83048731.875,2017-03-31,,240002389.485,402568452.243,49733146.581,110890045.053,,83048731.875
MFG,-1q,,,,,,10091867584,,948841196,,,,,2018-03-31,,85311450045,1929111274700.0,,81075772288,,4521758402
MFG,-2q,,,,,,9835709875,,915491750,,,,,2017-12-31,,80877227125,1849940340250.0,,124283130375,,5905061125
MFG,-3q,,,,,,8245986966,,2251209186,,,,,2017-09-30,,77043966400,1850282915802.0,,133375938826,,5948126054
MFG,-4q,,,,,,6596546500,,1052781000,,,,,2017-06-30,,76569192000,1785692092900.0,,121102816200,,5383325200
MFGP,-1q,,,,1982419000,,32208000,,,,,,,2017-10-31,,7624603000,17607743000.0,730372000,4882110000,,
MFGP,-2q,,,,442193000,,71184000,,,,,,,2017-04-30,,1612536000,4645957000.0,150983000,1561536000,,
MFGP,-3q,,,,405311000,,294192000,,,,,,,2016-10-31,,1580723000,4707021000.0,122970000,1735529000,,
MFGP,-4q,,,,954361000,,275256000,,,,,,,2016-04-30,,1592671000,4635693000.0,667178000,1745209000,,
MFIN,-1q,-1734000,5291000,,,10956000,,,-14874000,,39924000,,,2018-03-31,,272437000,616710000.0,,,,-11406000
MFIN,-2q,-6591000,-4070000,,,12690000,,,3345000,,59012000,,,2017-12-31,,287159000,635522000.0,,,,2620000
MFIN,-3q,-2845000,133000,,,19281000,,,619000,,5410000,,,2017-09-30,,283580000,665420000.0,,,,2032000
MFIN,-4q,-3513000,1552000,,,22126000,,,-4797000,,8981000,,,2017-06-30,,282739000,661352000.0,,,,391000
MFNC,-1q,3001000,2120000,,,40427000,,,1537000,,-113000,,,2018-03-31,,81857000,983929000.0,,,,9923000
MFNC,-2q,-20256000,4978000,,,37426000,,,-20000,,-397000,,,2017-12-31,,81400000,985367000.0,,,,10981000
MFNC,-3q,-31296000,4200000,,,57682000,,,2093000,,-271000,,,2017-09-30,,82649000,1015070000.0,,,,10942000
MFNC,-4q,47809000,4076000,,,88978000,,,1680000,,-310000,,,2017-06-30,,81313000,1027450000.0,,,,10114000
MFO,-1q,-241278000,5896000,,,221786000,,,83395000,,-29836000,,,2018-03-31,,3235431000,10615212000.0,,,,100858000
MFO,-2q,-158416000,57096000,,,449757000,,,100594000,,-15368000,,,2017-12-31,,3261636000,10954734000.0,,,,117392000
MFO,-3q,-137307000,22830000,,,608173000,,,63805000,,-20857000,,,2017-09-30,,3257651000,11103459000.0,,,,84955000
MFO,-4q,371391000,51785000,,,745480000,,,79935000,,-5710000,,,2017-06-30,,3274644000,11536816000.0,,,,97461000
MFSF,-1q,13728000,6207000,,,41069000,,,4007000,,-721000,,,2018-03-31,,191062000,1996105000.0,,,,18019000
MFSF,-2q,1590000,5350000,,,27341000,,,1460000,,-1330000,,,2017-12-31,,150282000,1588932000.0,,,1438650000.0,17041000
MFSF,-3q,583000,9476000,,,25751000,,,3751000,,-1041000,,,2017-09-30,,150225000,1581814000.0,,,1431589000.0,16698000
MFSF,-4q,2864000,1534000,,,25168000,,,3898000,,-1149000,,,2017-06-30,,146326000,1575949000.0,,,,16757000
MG,-1q,5307000,5818000,139485000,201198000,33132000,7203000,48145000,2907000,42740000,,5405000,187630000,2018-03-31,756000,276177000,560241000.0,33132000,187827000,,187630000
MG,-2q,451000,20013000,137324000,195008000,27541000,8233000,50320000,884000,42566000,,7754000,187644000,2017-12-31,523000,270619000,554441000.0,27541000,181491000,,187644000
