,,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
AAWW,-3q,-106467000,82299000,282597000,449776000,176280000,196509000,253151000,-24162000,200228000,378000.0,52923000,535748000,2017-09-30,,1575169000,4687302000.0,175926000,2105344000,,535748000
AAWW,-4q,163811000,94153000,265766000,510506000,282747000,196136000,251600000,38939000,193215000,-93000.0,58385000,517366000,2017-06-30,,1593302000,4693293000.0,279575000,2146119000,,517366000
AAXN,-1q,15891000,18053000,36754000,258970000,94798000,,64461000,12926000,50878000,34000.0,13583000,101215000,2018-03-31,15119000,199329000,392985000.0,96805000,,,101215000
AAXN,-2q,31602000,24325000,31635000,205192000,75105000,,63016000,-2071000,55368000,,7648000,94651000,2017-12-31,15755000,167444000,338112000.0,81967000,,,94651000
AAXN,-3q,13872000,6611000,40497000,188741000,43471000,,49765000,422000,50564000,,-799000,90262000,2017-09-30,14166000,166080000,327607000.0,61843000,,,90262000
AAXN,-4q,-13154000,-5837000,34006000,190954000,28038000,,45637000,2276000,44813000,,824000,79643000,2017-06-30,12989000,163461000,316311000.0,61834000,,,79643000
AB,-1q,,80105000,,,,,,58160000,,-65698000,,,2018-03-31,,1560708000.0,1560834000.0,,,,
AB,-2q,,47619000,,,,,,78593000,,-85725000,,,2017-12-31,,,1544704000.0,,,1154000.0,
AB,-3q,,46009000,,,,,,43178000,,-49055000,,,2017-09-30,,,1441672000.0,,,224000.0,
AB,-4q,,44463000,,,,,,41741000,,-47947000,,,2017-06-30,,,1441058000.0,,,547000.0,
ABAC,-1q,960133,962653,6059603,72659392,66132282,2228944,1169928,203517,984957,10892,184971,7229531,2018-03-31,,94404682,98236957.0,66132282,,,7229531
ABAC,-2q,1189585,1297313,5969011,68633257,62636484,2142573,1341061,626076,728227,-5240,612834,7310072,2017-12-31,,90543596,94060430.0,62636484,,,7310072
ABAC,-3q,1267306,1273884,5656305,66124827,60390668,2109419,1134275,385206,768260,8009,366015,6790580,2017-09-30,,88509877,91999541.0,60390668,,,6790580
ABAC,-4q,424076,1005881,5387139,63760973,57891099,2065682,835021,64422,779609,27860,55412,6222160,2017-06-30,,86291818,89848961.0,57891099,,,6222160
ABAX,-1q,-25777000,6356000,30590000,264248000,46277000,,37328000,10020000,25146000,-1057000,12182000,67918000,2018-03-31,5660000,290693000,341103000.0,166783000,,,67918000
ABAX,-2q,12919000,12794000,27494000,250803000,71902000,,32176000,4226000,23599000,-118000,8577000,59670000,2017-12-31,5165000,281057000,338763000.0,161619000,,,59670000
ABAX,-3q,-32795000,13068000,26693000,233365000,58874000,,32161000,6601000,22726000,-82000,9435000,58854000,2017-09-30,6075000,277089000,319948000.0,148751000,,,58854000
ABAX,-4q,-469000,11298000,26314000,226788000,91473000,,31944000,6330000,23483000,-564000,8461000,58258000,2017-06-30,6432000,271139000,317238000.0,137663000,,,58258000
ABB,-1q,-427000000,-518000000,5919000000,22311000000,4162000000,2476000000,2708000000,572000000,1813000000,52000000,895000000,8627000000,2018-03-31,353000000,13395000000,43569000000.0,4902000000,7761000000,,8627000000
ABB,-2q,848000000,1869000000,6655000000,21939000000,4526000000,738000000,2625000000,393000000,1931000000,98000000,694000000,9280000000,2017-12-31,398000000,14819000000,43262000000.0,5628000000,7447000000,,9280000000
ABB,-3q,-1428000000,954000000,6055000000,21595000000,3649000000,831000000,2669000000,571000000,1753000000,23000000,916000000,8724000000,2017-09-30,357000000,14244000000,42407000000.0,4647000000,7892000000,,8724000000
ABB,-4q,-683000000,467000000,5855000000,22089000000,5018000000,914000000,2599000000,525000000,1686000000,-7000000,913000000,8454000000,2017-06-30,319000000,13403000000,40478000000.0,5885000000,7823000000,,8454000000
ABBV,-1q,-311000000,2645000000,1927000000,20444000000,9007000000,6381000000,6007000000,2783000000,3104000000,,2903000000,7934000000,2018-03-31,1313000000,3553000000,69342000000.0,9474000000,37287000000,,7934000000
ABBV,-2q,857000000,2584000000,2280000000,21223000000,9303000000,6415000000,5459000000,52000000,3665000000,,1794000000,7739000000,2017-12-31,1714000000,5097000000,70786000000.0,9789000000,37368000000,,7739000000
ABBV,-3q,2352000000,3271000000,1616000000,18930000000,8446000000,3821000000,5379000000,1631000000,2674000000,,2705000000,6995000000,2017-09-30,1222000000,6687000000,68840000000.0,9554000000,37795000000,,6995000000
ABBV,-4q,1341000000,2003000000,1528000000,16962000000,6088000000,3420000000,5416000000,1915000000,2742000000,,2674000000,6944000000,2017-06-30,1238000000,6009000000,66994000000.0,7205000000,37237000000,,6944000000
ABC,-1q,-946388000,-87568000,39778175000,26397211000,2091359000,252894000,1255683000,287455000,774263000,42328000,481420000,41033858000,2018-03-31,,3187550000,38395732000.0,2091359000,4530395000,,41033858000
ABC,-2q,602632000,10326000,39353680000,25296432000,3037747000,20061000,1112652000,861853000,693679000,23766000,418973000,40466332000,2017-12-31,,2874582000,36361510000.0,3037747000,4286818000,,40466332000
ABC,-3q,1123648000,1380454000,37947995000,24303299000,2435115000,12121000,1172020000,-344587000,392622000,-78540000,779398000,39120015000,2017-09-30,,2064461000,35316470000.0,2435115000,3442055000,,39120015000
ABC,-4q,-1092966000,-244700000,37627269000,23677224000,1311467000,4119000,1079875000,50352000,909499000,-24723000,170376000,38707144000,2017-06-30,,2553514000,34654010000.0,1311467000,3433193000,,38707144000
ABCB,-1q,4217000,48497000,,,334875000,480000000,,26660000,,-7098000,,,2018-03-31,,868944000,8022828000.0,,641416000,,95265000
ABCB,-2q,86743000,33121000,,,330658000,175000000,,9150000,,-11322000,,,2017-12-31,,804479000,7856203000.0,,336104000,,93086000
ABCB,-3q,-33396000,-27355000,,,243915000,733000000,,20158000,,-13273000,,,2017-09-30,,801921000,7649820000.0,,893792000,,93854000
ABCB,-4q,-81898000,-81581000,,,277311000,604000000,,23087000,,-14742000,,,2017-06-30,,782682000,7397858000.0,,764480000,,91346000
